gdp
1217
1303
1383
1541
1731
2053
2126
1747
1667
1962
2215
2417
2112
3007
2894
2810
2765
3189
3662
4020
4445
4222
4036
4057
4412
4504
5736
5075
5198
5252
5889
6603
6416
5969
5446
6464
6933
6891
7482
7718
4983
5315
6166
7633
8881
10745
20885
24827
28679
26049
32198
39337
41272
62825
54783
49406
56165
60406
67299
68338
70043
79524
74263
76370
